video_id,channel_id,channel_name,handle_canal,title,category,source_query,source_group,query_hits,keywords,description,vistas,vistas_texto,publish_date,published_time
-5puKGEqcUc,UCq0Cm-3SKthEySQc2JZBi1A,T13 Noticias Guatemala,@T13NoticiasGuatemala,INSIVUMEH pronostica incremento de lluvias para el fin de semana en Guatemala,News & Politics,guatemala lluvias,topic,"[""guatemala lluvias""]","[""Canícula prolongada"", ""Chapin tv"", ""Fenómeno del Niño"", ""Guatemala"", ""Lluvias en Guatemala"", ""Onda tropical 32"", ""Pronóstico del clima"", ""T13 Noticias"", ""actualidad"", ""canal 3"", ""información"", ""noticias"", ""noticias guatemala"", ""noticiero"", ""T13""]","El Departamento de Pronóstico de INSIVUMEH prevé un incremento en las lluvias durante este fin de semana a pesar de la influencia del fenómeno del Niño y una canícula prolongada. La onda número 32 estaría promoviendo nublados y lluvias en todo el país, principalmente hacia el norte y sur. 

En la ciudad capital se esperan nublados y algunas lloviznas dispersas, mientras que los mayores acumulados se presentarán en el área del Caribe, especialmente Izabal, y a lo largo de la Boca Costa. Estas lluvias serán más notables en horas de la tarde y noche. 

Para principios de la próxima semana, los expertos anticipan que las lluvias serán más intensas y finalizará gradualmente el periodo de la canícula. Las autoridades recomiendan mantener precauciones debido a posibles inundaciones, crecidas de ríos, lahares en la cadena volcánica, deslizamientos de tierra y daños en la red vial.",2357,2390.0,2026-08-28T22:00:20-07:00,hace 2 días
-E7OPOLjMug,UCgItjn_ZWFWcv1MlpKIkqgQ,IDocumenta,@iDocumenta,BERNARDO ARÉVALO CALIFICA CAMBIO EN EL MP COMO EL FIN DE UNA ETAPA DE DETERIORO INSTITUCIONAL,People & Blogs,@GobiernodelaRepublicadeGuatema,topic,"[""@GobiernodelaRepublicadeGuatema""]",[],"El presidente de Guatemala, Bernardo Arévalo, calificó el cambio de fiscal general y jefe del Ministerio Público como “el cierre de una etapa marcada por el deterioro institucional”, durante recientes declaraciones relacionadas con la situación del sistema de justicia en el país.
@GobiernodelaRepublicadeGuatema 
#noticias #nacionales #politica #justicia #like #comenta #comparte #siguenos",4,4.0,2026-05-13T16:00:03-07:00,hace 3 meses
-KDglrIzRKo,UC-DpoeBbCMOMOH1-j71KPqA,México Poder,@MéxicoPoder,¡HISTÓRICO! Mexico recupera petróleo robado por Guatemala... 🔔,People & Blogs,guatemala noticias,topic,"[""guatemala noticias""]","[""Mexico recupera petroleo"", ""petroleo robado Guatemala"", ""huachicol frontera sur"", ""Pemex noticias hoy"", ""Mexico vs Guatemala petroleo"", ""soberania energetica Mexico"", ""recuperacion de hidrocarburos"", ""Guardia Nacional frontera sur"", ""noticias de hoy Mexico"", ""petroleo mexicano"", ""ultimas noticias Mexico"", ""soberania Mexico"", ""seguridad frontera sur"", ""decomiso de petroleo"", ""combate al huachico""]","#México #PetróleoMexicano #SoberaníaEnergética #Pemex #NoticiasMéxico #FronteraSur #Huachicol #Guatemala #ÚltimaHora

En este video te contamos todos los detalles sobre la histórica operación de seguridad y soberanía energética implementada en la frontera sur. El Gobierno de México logra asegurar miles de barriles de hidrocarburo extraídos de manera ilegal y recupera recursos vitales para la nación.

¿Qué implicaciones diplomáticas y económicas tendrá esta firme postura en la región? Analizamos las acciones de Pemex, la Guardia Nacional y las fuerzas de seguridad para defender el patrimonio de los mexicanos.

📌 En este video descubrirás:
• Los detalles del operativo de recuperación de petróleo en la frontera sur.
• La respuesta de Pemex y las autoridades mexicanas ante el tráfico ilícito.
• El impacto en la relación bilateral entre México y Guatemala.
• Medidas para reforzar la soberanía energética y combatir el huachicol.

🔔 ¡SUSCRÍBETE Y ACTIVA LA CAMPANILLA!
No te pierdas ningún reporte sobre la política, economía y soberanía de México. Déjanos tu opinión en los comentarios: ¿Qué opinas de estas acciones de seguridad en la frontera?",29736,29736.0,2026-08-29T17:00:38-07:00,hace 1 día
-O4Pa7qS9WQ,UCSQM9AVr3rr7_GF8RH5KFGw,Guate Maya Trip,@GuateMayaTripGT,"Viaje completo Ciudad de Guatemala al IRTRA de Retalhuleu, menos tráfico, Diesel a Q42.59",Nonprofits & Activism,guatemala trafico,topic,"[""guatemala trafico""]",[],,383,383.0,2026-03-27T22:00:00-07:00,hace 5 meses
06mFNPU0aB8,UCVpSRoZgngfSL03Nlbjtq9A,Noti7,@Noti7Guatemala,Capturan a presuntos delincuentes disfrazados de mujer señalados de cometer asalto,News & Politics,guatemala noticias,topic,"[""guatemala noticias""]","[""Actualidad"", ""Asaltantes disfrazados"", ""Capturados Escuintla"", ""Guatemala"", ""Noti7"", ""Noticias"", ""PNC"", ""Televisiete"", ""información"", ""noticias"", ""capturas""]",La rápida acción policial frustró el plan de los sujetos que usaron minifaldas para huir.,6692,6692.0,2026-08-13T22:00:12-07:00,hace 2 semanas
0LTLUY7LBlA,UCfMjuFkpFo_QAWtvQqR2EHQ,De viaje con Migue,@deviajeconmigue,"Qué debes saber ANTES de viajar a GUATEMALA | Dónde cambiar DINERO, adquirir INTERNET y TRANSPORTE",Travel & Events,guatemala transporte,topic,"[""guatemala transporte""]","[""viajes"", ""tips de viajes"", ""travel"", ""mundo chevez"", ""consejos de viajes"", ""guatemala"", ""visitamos guatemala"", ""qué saber antes de viajar a guatemala"", ""dónde cambiar dinero en guatemala"", ""cómo conseguir internet en guatemala"", ""cómo moverme en guatemala"", ""transporte en guatemala"", ""ciudad de guatemala"", ""antigua guatemala""]","(00:00) Intro
(01:15) Vuelos y requerimientos
(01:42) Declaración jurada regional del viajero
(02:46) Migración proceso
(03:52) Opciones de transporte del aeropuerto
(07:41) Dónde cambiar dinero a Quetzales
(10:22) Dónde conseguir Internet
(11:30) Transporte de Ciudad de Guatemala a Petén
(15:16) Despedida y redes sociales

Este es un video informativo que te ayudará a planear de mejor manera tu visita al hermosos país de #guatemala 

Aquí te comparto #tips  y #recomendaciones desde vuelos, #transporte y costos para moverte por el país, dónde cambiar dinero y obtener la mejor taza de cambio y dónde conseguir #internet  para estar conectado durante todo tu viaje.

En este enlace puedes llenar la declaración jurada regional del viajero
https://portal.sat.gob.gt/portal/declaracion-jurada-regional-de-viajero/

SUSCRÍBETE A MI CANAL:
https://www.youtube.com/channel/UCfMjuFkpFo_QAWtvQqR2EHQ?view_as=subscriber
.
REDES SOCIALES:
Instagram: https://www.instagram.com/deviajeconmigue/
Twitter: https://twitter.com/deviajeconmigue
Facebook: https://www.facebook.com/deviajeconmigue/
TikTok: https://www.tiktok.com/@deviajeconmigue
.
CONTACTO:
mundo.chevez@gmail.com",6099,6098.0,2025-04-15T18:00:27-07:00,hace 1 año
0a4_g1R1-aA,UCHsYnV67K3J0yJ4QeciVCww,PNCdeGuatemala,@PNCdeGuatemala,Acciones relevantes en el #Resumen24Horas,Science & Technology,Policia Nacional Civil Guatemala,official_gov,"[""Policia Nacional Civil Guatemala""]",[],"📢 ¡Sígueme en nuestras redes! 🌐
━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
https://www.instagram.com/pncdeguatemala
https://www.youtube.com/@PNCdeGuatemala
https://www.tiktok.com/@pncdeguatemala
https://www.facebook.com/PoliciaNacionalCivildeGuatemala
https://x.com/PNCdeGuatemala
https://pnc.gob.gt/

🌟 ¡Suscríbete para más contenido!

#PNC #PNCGuatemala #Policia #Guatemala #SeguridadConTransparencia
 #ProtegerYServir",15455,15436.0,2026-08-26T05:26:21-07:00,hace 5 días
0b2vfzXdCqs,UC-ZtFBHzgkYFh7whZkuR_Ag,Gobierno de la República de Guatemala,@GobiernodelaRepublicadeGuatema,Cadena Nacional del presidente Bernardo Arévalo,Entertainment,Gobierno de Guatemala,topic,"[""Gobierno de Guatemala"", ""Gobierno de la República de Guatemala""]",[],Cadena Nacional del presidente Bernardo Arévalo,2725,2725.0,2026-02-15T18:11:23-08:00,Transmitido hace 6 meses
0eiVPMexNOo,UCt5Dw7ePnn0AqPqRF8Xpjkw,TN23 Guatemala,@TN23TodoNoticias,CONRED se pronuncia tras sismos en el territorio nacional,News & Politics,Conred Guatemala,official_gov,"[""Conred Guatemala""]","[""TN23"", ""información"", ""noticias"", ""Guatemala"", ""CONRED"", ""sismos"", ""temblores""]",CONRED se pronuncia tras sismos en el territorio nacional,1875,1875.0,2025-07-29T16:30:00-07:00,hace 1 año
0iQD8zHxZIg,UCoVACVT8WitFTc_Ok5yhYlg,Tras la Verdad SV,@TraslaVerdadSV,SE FILTRO un AUDIO de PANDILLEROS en Guatemala | DISPUTA POLITICA  Guatemala en medio de EMERGENCIA,News & Politics,guatemala politica,topic,"[""guatemala politica""]","[""El Salvador"", ""Nayib Bukele"", ""Noticias"", ""Noticias de El Salvador"", ""Noticias de Nayib Bukele""]","Un pandillero tiene enfrentado a los políticos en Guatemala, al mismo sujeto quien seria ranflero de la 18 le han encontrado audios presuntamente incriminatorio ante hecho de ataques a policías, mientras a Consuelo Porras han solicitado ante el sistema judicial un juicio político,  


#noticias #noticiasenvivo #noticiasenespañol #bukele #bukelevspandillas #nayibukele #elsalvador #guatemala  #guatemala502 #guatemalatravel #guatemalacity 

Apóyame compartiendo este contenido con tus amigos, familiares y grupos en las redes sociales, si somos más, somos más fuertes!! Gracias por su confianza cipotes.
Suscríbete a mi segundo canal de Youtube: https://goo.gl/jcUZTR

Sígueme en mis redes sociales 
Tik tok: https://www.tiktok.com/@caoz_sv
Twitter: https://twitter.com/Caoz_ES
Facebook: https://www.facebook.com/CaozES/

Ayuda a seguir creando contenido Donaciones: https://goo.gl/DxivjZ",36701,36701.0,2026-01-21T09:00:02-08:00,hace 7 meses
